Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
g1,COSMOS,F814W,0.376,4.08,0.586,-21.0,-21.44,2,14.871,0.573,0.056,0.0,0.0,0.371,3.332,0.049,17.6,0.8,0.991,0.042,17.3,1.1,0.65,0.07,,,,,,,10.8,3.3,-9.4,17.9,415.9,36.3,1.693,0.248,12821.007,0.0,6.955,3.829,1.76,0.66,0.18,0.19,0.257
g2,COSMOS,F814W,0.367,4.01,0.59,-21.32,-22.13,4,9.448,0.501,0.39,0.0,0.0,0.11,1.55,0.085,95.4,37.3,1.347,0.234,48.0,2.1,1.19,0.1,,,,,,,23.4,7.1,-19.9,27.9,143.8,46.9,0.785,0.033,5031.255,480.846,1.614,0.023,1.15,0.14,0.06,0.01,0.749
g4,COSMOS,F814W,0.381,4.13,0.584,-21.86,-22.46,4,16.122,0.511,0.079,0.0,0.0,0.41,3.053,0.034,41.3,2.5,1.279,0.366,12.8,5.2,2.45,0.43,,,,,,,17.4,4.1,-13.6,22.8,205.3,44.1,2.555,0.648,16232.757,0.0,5.755,4.764,3.94,5.59,-0.05,0.38,0.291
g5,COSMOS,F814W,0.376,4.09,0.586,-20.59,-20.95,2,9.071,0.747,0.027,0.0,0.0,0.226,1.773,0.013,61.0,1.1,0.35,0.034,29.9,6.3,0.77,0.3,,,,,,,21.2,3.6,-7.0,0.9,185.6,23.7,0.996,0.052,7816.588,0.0,11.001,8.025,2.1,1.06,-0.1,0.43,0.452
g7,COSMOS,F814W,0.31,3.51,0.615,-21.48,-22.28,2,14.334,0.294,0.207,0.418,0.0,0.082,3.864,0.063,11.4,0.6,0.448,0.01,289.6,7.5,1.19,0.04,2.185,0.037,41.2,1.5,1.06,0.04,6.4,0.3,-17.5,9.8,235.7,33.4,2.952,0.189,8809.332,424.198,1.962,0.733,7.58,6.99,-0.1,0.07,0.374
g8,COSMOS,F814W,0.268,3.12,0.636,-21.41,-21.91,2,14.953,0.462,0.053,0.221,0.0,0.265,3.859,0.049,16.8,0.8,0.488,0.026,63.0,4.4,1.06,0.09,2.907,0.067,14.7,0.5,0.55,0.03,15.2,1.5,6.6,5.8,243.8,5.4,1.567,0.015,9859.575,0.0,1.926,0.378,1.09,0.19,0.07,0.19,0.205
g9,COSMOS,F814W,0.93,7.42,0.418,-22.35,-23.07,3,24.545,0.516,0.244,0.0,0.0,0.24,4.644,0.078,30.9,1.6,0.525,0.06,255.9,60.1,5.15,0.73,,,,,,,20.9,7.7,-36.3,25.6,200.7,31.4,2.213,0.608,12733.876,407.153,14.397,5.825,4.38,6.86,-0.04,0.24,0.447
g11,COSMOS,F814W,0.31,3.51,0.615,-21.2,-21.68,2,15.457,0.527,0.039,0.054,0.0,0.38,3.116,0.042,24.6,0.5,0.756,0.02,28.4,1.3,0.56,0.05,2.628,0.0,6.4,0.2,0.25,0.0,11.0,3.0,-10.4,26.2,314.2,15.2,3.098,0.051,12295.202,257.599,6.232,1.889,1.0,0.0,0.0,0.0,0.338
g12,COSMOS,F814W,0.249,2.93,0.645,-21.86,-22.59,2,14.006,0.357,0.056,0.328,0.0,0.259,2.831,0.016,40.1,0.8,0.182,0.004,913.6,33.7,0.78,0.06,2.085,0.01,103.1,0.6,0.5,0.01,15.7,3.9,-25.5,41.7,225.7,30.8,2.249,0.127,8278.354,156.924,4.474,0.765,1.18,0.04,0.25,0.31,0.179
g13,COSMOS,F814W,0.274,3.17,0.633,-20.37,-20.69,3,8.831,0.716,0.032,0.124,0.0,0.128,1.444,0.013,74.6,1.6,0.298,0.02,83.2,9.9,0.31,0.14,1.52,0.063,11.9,0.9,1.27,0.12,15.6,3.5,-20.8,27.6,227.9,33.2,1.341,0.096,16087.044,2366.653,1.527,0.373,1.58,1.13,0.2,0.24,0.355
