Galaxy,Subsample,Filter,z,t_L (Gyr),λ_rf (μm),M_rf (AB),M_F814W (AB),N arms,R_25 (kpc),Disc h (kpc)
g1,COSMOS,F814W,0.376,4.08,0.586,-21.0,-21.44,2,14.871,3.332
g2,COSMOS,F814W,0.367,4.01,0.59,-21.32,-22.13,4,9.448,1.55
g4,COSMOS,F814W,0.381,4.13,0.584,-21.86,-22.46,4,16.122,3.053
g5,COSMOS,F814W,0.376,4.09,0.586,-20.59,-20.95,2,9.071,1.773
g7,COSMOS,F814W,0.31,3.51,0.615,-21.48,-22.28,2,14.334,3.864
g8,COSMOS,F814W,0.268,3.12,0.636,-21.41,-21.91,2,14.953,3.859
g9,COSMOS,F814W,0.93,7.42,0.418,-22.35,-23.07,3,24.545,4.644
g11,COSMOS,F814W,0.31,3.51,0.615,-21.2,-21.68,2,15.457,3.116
g12,COSMOS,F814W,0.249,2.93,0.645,-21.86,-22.59,2,14.006,2.831
g13,COSMOS,F814W,0.274,3.17,0.633,-20.37,-20.69,3,8.831,1.444
g14,COSMOS,F814W,0.897,7.28,0.425,-22.2,-22.82,3,25.647,6.067
g15,COSMOS,F814W,0.982,7.64,0.407,-21.15,-21.62,2,13.287,2.744
g16,COSMOS,F814W,0.28,3.23,0.63,-20.75,-21.3,2,12.797,1.669
g17,COSMOS,F814W,0.316,3.56,0.612,-21.85,-22.53,2,15.713,3.233
g18,COSMOS,F814W,0.69,6.25,0.477,-22.39,-23.02,2,22.743,4.173
g19,COSMOS,F814W,0.352,3.88,0.596,-22.3,-22.99,2,22.388,4.607
g20,COSMOS,F814W,0.303,3.44,0.619,-20.99,-21.43,5,15.353,3.497
g21,COSMOS,F814W,0.844,7.04,0.437,-22.34,-22.96,2,21.688,4.167
g22,COSMOS,F814W,0.233,2.77,0.654,-22.35,-22.89,6,19.872,3.92
g23,COSMOS,F814W,0.687,6.23,0.478,-21.43,-21.96,2,18.157,3.826
g26,COSMOS,F814W,0.2,2.43,0.672,-21.98,-22.28,2,16.377,3.038
g27,COSMOS,F814W,0.369,4.03,0.589,-21.38,-22.18,2,12.017,2.892
g29,COSMOS,F814W,0.801,6.83,0.448,-21.96,-22.59,3,20.226,3.845
g31,COSMOS,F814W,0.232,2.76,0.654,-20.98,-21.44,2,8.698,1.371
g32,COSMOS,F814W,0.231,2.75,0.655,-22.2,-22.77,4,14.032,2.792
g35,COSMOS,F814W,0.491,4.98,0.541,-21.98,-22.36,2,17.972,3.738
g36,COSMOS,F814W,0.318,3.58,0.612,-22.32,-22.95,2,19.957,4.299
g37,COSMOS,F814W,0.299,3.41,0.62,-19.57,-19.94,2,9.626,2.708
g38,COSMOS,F814W,0.371,4.04,0.588,-20.86,-21.24,2,10.839,2.089
g39,COSMOS,F814W,0.223,2.67,0.659,-21.15,-21.6,2,11.714,2.121
g43,COSMOS,F814W,0.424,4.47,0.566,-21.94,-22.72,3,16.244,3.252
g44,COSMOS,F814W,0.312,3.53,0.614,-22.67,-23.43,3,25.716,4.937
g46,COSMOS,F814W,0.228,2.72,0.656,-21.24,-21.57,3,18.042,4.139
g47,COSMOS,F814W,0.314,3.55,0.613,-21.54,-22.08,2,14.459,2.904
g49,COSMOS,F814W,0.279,3.22,0.63,-21.25,-21.71,3,11.3,1.912
g50,COSMOS,F814W,0.733,6.48,0.465,-21.83,-22.58,4,18.505,3.527
g51,COSMOS,F814W,0.462,4.76,0.551,-20.92,-21.28,2,13.467,2.254
g53,COSMOS,F814W,0.172,2.13,0.688,-21.88,-22.4,5,18.051,5.938
