Galaxy,Filter,D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err
g1,F814W,0.573,0.056,0.0,0.0,0.371,3.332,0.049,17.2,0.8,0.991,0.042,16.9,1.0,0.65,0.07,,,,,,
g2,F814W,0.501,0.39,0.0,0.0,0.11,1.55,0.085,93.0,36.4,1.347,0.234,46.8,2.0,1.19,0.1,,,,,,
g4,F814W,0.511,0.079,0.0,0.0,0.41,3.053,0.034,40.2,2.4,1.279,0.366,12.4,5.1,2.45,0.43,,,,,,
g5,F814W,0.747,0.027,0.0,0.0,0.226,1.773,0.013,59.4,1.1,0.35,0.034,29.2,6.1,0.77,0.3,,,,,,
g7,F814W,0.342,0.191,0.417,0.0,0.049,3.895,0.048,12.8,0.5,0.435,0.008,275.4,7.8,1.2,0.04,2.062,0.036,43.3,1.6,1.15,0.04
g8,F814W,0.462,0.053,0.221,0.0,0.265,3.859,0.049,16.4,0.8,0.488,0.026,61.4,4.3,1.06,0.09,2.907,0.067,14.3,0.5,0.55,0.03
g9,F814W,0.516,0.244,0.0,0.0,0.24,4.644,0.078,30.1,1.5,0.525,0.06,249.4,58.6,5.15,0.73,,,,,,
g11,F814W,0.527,0.039,0.054,0.0,0.38,3.116,0.042,24.0,0.5,0.756,0.02,27.7,1.2,0.56,0.05,2.628,0.0,6.2,0.2,0.25,0.0
g12,F814W,0.357,0.056,0.328,0.0,0.259,2.831,0.016,39.0,0.8,0.182,0.004,890.3,32.9,0.78,0.06,2.085,0.01,100.4,0.6,0.5,0.01
g13,F814W,0.716,0.032,0.124,0.0,0.128,1.444,0.013,72.7,1.6,0.298,0.02,81.1,9.7,0.31,0.14,1.52,0.063,11.6,0.9,1.27,0.12
g14,F814W,0.692,0.121,0.0,0.0,0.188,6.067,0.088,19.5,0.6,1.372,0.056,43.6,3.3,1.01,0.09,,,,,,
g15,F814W,0.646,0.204,0.0,0.0,0.151,2.744,0.08,33.7,2.4,0.974,0.044,51.8,3.5,0.66,0.09,,,,,,
g16,F814W,0.739,0.136,0.0,0.0,0.126,1.669,0.007,78.1,0.9,0.33,0.006,194.4,4.7,1.0,0.0,,,,,,
g17,F814W,0.504,0.071,0.239,0.0,0.186,3.233,0.012,38.4,0.5,0.398,0.009,251.1,10.8,1.15,0.07,2.399,0.02,66.3,0.7,0.53,0.01
g18,F814W,0.591,0.137,0.0,0.0,0.272,4.173,0.036,44.6,1.3,1.212,0.094,59.5,8.5,2.76,0.23,,,,,,
g19,F814W,0.625,0.095,0.02,0.0,0.26,4.607,0.019,33.5,0.4,1.207,0.019,61.2,1.8,0.66,0.04,0.318,0.013,297.7,24.7,0.45,0.12
g20,F814W,0.796,0.057,0.0,0.0,0.147,3.497,0.024,22.9,0.4,0.958,0.082,10.0,1.3,1.39,0.15,,,,,,
g21,F814W,0.402,0.265,0.196,0.0,0.137,4.167,0.06,39.0,1.4,0.267,0.008,2644.9,129.6,0.83,0.1,2.604,0.045,62.5,2.0,0.3,0.03
g22,F814W,0.623,0.062,0.034,0.0,0.281,3.92,0.008,46.5,0.3,0.341,0.007,317.0,10.8,1.26,0.05,1.627,0.031,26.3,1.2,0.32,0.02
g23,F814W,0.839,0.013,0.0,0.0,0.148,3.826,0.037,28.2,0.5,1.43,0.326,3.2,0.9,1.0,0.0,,,,,,
g26,F814W,0.564,0.093,0.0,0.0,0.343,3.038,0.009,57.7,0.6,1.003,0.008,58.4,0.6,0.52,0.01,,,,,,
g27,F814W,0.362,0.135,0.42,0.0,0.083,2.892,0.031,20.5,0.6,0.536,0.026,103.6,7.5,1.56,0.11,2.952,0.049,26.4,1.0,1.08,0.03
g29,F814W,0.562,0.087,0.0,0.0,0.352,3.845,0.055,32.4,1.8,1.505,0.609,11.9,8.2,3.63,1.01,,,,,,
g31,F814W,0.494,0.332,0.0,0.0,0.174,1.371,0.007,94.7,1.7,0.397,0.003,409.0,4.5,1.0,0.0,,,,,,
g32,F814W,0.303,0.449,0.0,0.0,0.247,2.792,0.015,39.2,1.3,1.478,0.035,76.4,2.7,2.42,0.04,,,,,,
g35,F814W,0.73,0.015,0.0,0.0,0.254,3.738,0.025,47.4,0.7,0.341,0.029,56.9,10.9,1.01,0.33,,,,,,
g36,F814W,0.311,0.378,0.0,0.0,0.311,4.299,0.044,20.4,0.7,2.796,0.096,17.6,1.0,3.84,0.07,,,,,,
g37,F814W,0.503,0.038,0.194,0.0,0.265,2.708,0.058,7.1,0.4,0.281,0.022,26.5,4.5,0.66,0.23,1.543,0.063,7.9,0.6,1.02,0.11
g38,F814W,0.629,0.0,0.0,0.0,0.371,2.089,0.012,46.7,0.6,,,,,,,,,,,,
g39,F814W,0.332,0.336,0.0,0.0,0.332,2.121,0.028,33.8,1.7,1.722,0.046,14.2,0.7,3.52,0.09,,,,,,
g43,F814W,0.447,0.069,0.244,0.0,0.24,3.252,0.037,38.1,1.1,0.379,0.02,213.3,19.1,1.27,0.14,2.686,0.042,32.0,1.0,0.66,0.03
g44,F814W,0.542,0.175,0.0,0.0,0.282,4.937,0.031,39.4,1.2,1.758,0.081,42.5,2.9,2.52,0.08,,,,,,
g46,F814W,0.825,0.046,0.0,0.0,0.128,4.139,0.019,24.5,0.3,0.669,0.045,24.3,2.3,1.17,0.11,,,,,,
g47,F814W,0.681,0.058,0.095,0.0,0.165,2.904,0.012,44.0,0.5,0.423,0.022,93.3,5.2,1.13,0.09,2.714,0.099,9.4,0.7,1.27,0.1
g49,F814W,0.647,0.045,0.0,0.0,0.308,1.912,0.009,87.1,1.3,0.418,0.017,73.2,5.3,1.0,0.1,,,,,,
g50,F814W,0.642,0.126,0.0,0.057,0.174,3.527,0.058,41.0,1.9,0.641,0.023,142.5,9.4,1.03,0.1,,,,,,
g51,F814W,0.776,0.014,0.0,0.0,0.21,2.254,0.013,52.7,0.6,1.017,0.0,4.3,0.0,1.0,0.0,,,,,,
g53,F814W,0.303,0.141,0.106,0.0,0.451,5.938,0.046,6.4,0.1,1.137,0.032,50.6,3.5,1.36,0.03,2.101,0.079,17.0,1.7,1.14,0.07
g56,F814W,0.487,0.181,0.259,0.0,0.073,1.894,0.007,32.3,0.3,0.152,0.006,970.2,56.4,1.63,0.09,0.98,0.015,74.2,2.9,0.65,0.02
g57,F814W,0.607,0.031,0.0,0.0,0.361,3.353,0.022,50.1,0.5,0.409,0.015,83.4,5.9,1.33,0.13,,,,,,
g59,F814W,0.409,0.078,0.103,0.0,0.41,4.528,0.05,10.8,0.4,0.383,0.009,190.0,8.5,1.06,0.07,1.74,0.025,28.8,0.7,0.25,0.0
g60,F814W,0.51,0.26,0.0,0.0,0.231,2.95,0.013,29.4,0.5,3.488,0.0,3.7,0.1,3.35,0.07,,,,,,
g62,F814W,0.612,0.0,0.0,0.0,0.388,2.603,0.02,58.5,0.7,,,,,,,,,,,,
g63,F814W,0.284,0.208,0.0,0.225,0.283,4.557,0.099,31.6,2.1,0.846,0.019,294.5,11.9,1.37,0.06,,,,,,
g64,F814W,0.323,0.212,0.15,0.0,0.315,2.951,0.053,10.4,0.9,0.944,0.058,22.8,1.9,2.22,0.09,2.655,0.044,14.0,0.3,0.51,0.02
g65,F814W,0.439,0.331,0.0,0.0,0.23,5.32,0.205,20.8,4.5,2.87,0.469,23.4,4.6,1.91,0.18,,,,,,
g66,F814W,0.487,0.096,0.0,0.0,0.417,5.001,0.08,10.7,0.6,1.565,0.22,6.4,1.2,2.12,0.21,,,,,,
g68,F814W,0.459,0.351,0.0,0.0,0.19,3.395,0.067,10.3,0.6,0.915,0.034,42.3,2.7,2.06,0.09,,,,,,
