Galaxy,Filter,z,t_L (Gyr),λ rf (μm),Clump index,C/T,C/T_F814W,M rf,M F814W,r_e (kpc),r_c/h,In spiral
g172,F814W,0.102,1.33,0.731,0,0.00128,0.00119,-12.81,-12.89,0.178,3.21,False
g172,F814W,0.102,1.33,0.731,1,0.00122,0.00114,-12.76,-12.84,0.268,2.28,False
g172,F814W,0.102,1.33,0.731,2,0.00114,0.00106,-12.69,-12.77,0.213,0.94,False
g172,F814W,0.102,1.33,0.731,3,0.00041,0.00038,-11.56,-11.64,0.04,1.78,True
g172,F814W,0.102,1.33,0.731,4,0.00486,0.00454,-14.26,-14.34,0.663,3.03,False
g172,F814W,0.102,1.33,0.731,5,0.0006,0.00056,-11.99,-12.07,0.065,1.63,False
g172,F814W,0.102,1.33,0.731,6,0.00497,0.00464,-14.28,-14.37,0.629,2.23,True
g172,F814W,0.102,1.33,0.731,7,0.00303,0.00283,-13.75,-13.83,0.197,1.69,True
g172,F814W,0.102,1.33,0.731,8,0.00034,0.00032,-11.38,-11.47,0.096,1.6,True
g172,F814W,0.102,1.33,0.731,9,0.00048,0.00044,-11.74,-11.82,0.065,1.6,True
g172,F814W,0.102,1.33,0.731,10,0.00291,0.00272,-13.7,-13.79,0.171,1.64,False
g172,F814W,0.102,1.33,0.731,11,0.00048,0.00045,-11.74,-11.82,0.079,1.44,False
g172,F814W,0.102,1.33,0.731,12,0.00403,0.00376,-14.06,-14.14,0.406,0.56,False
g172,F814W,0.102,1.33,0.731,13,0.0,0.0,inf,inf,0.241,0.68,False
g172,F814W,0.102,1.33,0.731,14,0.0002,0.00019,-10.82,-10.9,0.074,0.74,False
g172,F814W,0.102,1.33,0.731,15,0.00033,0.00031,-11.34,-11.42,0.123,0.72,False
g172,F814W,0.102,1.33,0.731,16,0.00378,0.00353,-13.99,-14.07,0.111,0.15,False
g172,F814W,0.102,1.33,0.731,17,0.00348,0.00324,-13.9,-13.98,0.327,1.09,False
g172,F814W,0.102,1.33,0.731,18,0.00101,0.00094,-12.55,-12.64,0.208,0.93,False
g172,F814W,0.102,1.33,0.731,19,0.00088,0.00082,-12.4,-12.48,0.248,1.21,False
g172,F814W,0.102,1.33,0.731,20,0.00028,0.00026,-11.15,-11.23,0.099,1.25,False
g172,F814W,0.102,1.33,0.731,21,0.00375,0.0035,-13.98,-14.06,0.47,2.35,True
g172,F814W,0.102,1.33,0.731,22,0.0037,0.00345,-13.96,-14.04,0.473,2.73,True
g172,F814W,0.102,1.33,0.731,23,0.00014,0.00013,-10.37,-10.46,0.042,2.67,True
g172,F814W,0.102,1.33,0.731,24,0.00344,0.00321,-13.89,-13.97,0.535,2.48,True
g172,F814W,0.102,1.33,0.731,25,0.00381,0.00356,-14.0,-14.08,0.495,2.64,True
g172,F814W,0.102,1.33,0.731,26,0.00381,0.00356,-14.0,-14.08,0.461,2.58,True
g172,F814W,0.102,1.33,0.731,27,0.0,0.0,inf,inf,0.017,2.64,True
g172,F814W,0.102,1.33,0.731,28,0.00304,0.00284,-13.75,-13.83,0.408,2.52,True
g172,F814W,0.102,1.33,0.731,29,0.0,0.0,inf,inf,0.017,2.63,True
g172,F814W,0.102,1.33,0.731,30,0.00376,0.0035,-13.98,-14.06,0.146,2.53,True
g172,F814W,0.102,1.33,0.731,31,0.00018,0.00016,-10.65,-10.73,0.129,2.57,True
g172,F814W,0.102,1.33,0.731,32,5e-05,5e-05,-9.29,-9.37,0.038,2.6,True
g172,F814W,0.102,1.33,0.731,33,0.00032,0.0003,-11.32,-11.4,0.128,2.69,True
g172,F814W,0.102,1.33,0.731,34,0.0,0.0,inf,inf,0.017,2.65,True
g172,F814W,0.102,1.33,0.731,35,0.0,0.0,inf,inf,0.017,2.79,True
g172,F814W,0.102,1.33,0.731,36,0.0,0.0,inf,inf,0.017,2.86,False
g172,F814W,0.102,1.33,0.731,37,0.0,0.0,inf,inf,0.017,2.74,True
g172,F814W,0.102,1.33,0.731,38,3e-05,3e-05,-8.69,-8.77,0.04,2.67,True
g123,F814W,0.103,1.34,0.731,0,0.00085,0.00079,-14.25,-14.34,0.181,0.79,False
g123,F814W,0.103,1.34,0.731,1,0.00072,0.00067,-14.07,-14.16,0.15,0.79,False
g123,F814W,0.103,1.34,0.731,2,0.0,0.0,inf,inf,0.103,0.8,False
g123,F814W,0.103,1.34,0.731,3,0.0,0.0,inf,inf,0.13,0.88,False
g123,F814W,0.103,1.34,0.731,4,8e-05,7e-05,-11.65,-11.74,0.072,0.74,False
g123,F814W,0.103,1.34,0.731,5,0.00033,0.00031,-13.24,-13.33,0.169,1.71,True
g123,F814W,0.103,1.34,0.731,6,7e-05,6e-05,-11.51,-11.6,0.141,1.8,True
g123,F814W,0.103,1.34,0.731,7,0.00042,0.0004,-13.51,-13.59,0.2,1.34,True
g123,F814W,0.103,1.34,0.731,8,0.00018,0.00017,-12.58,-12.67,0.252,1.32,True
g123,F814W,0.103,1.34,0.731,9,0.0005,0.00046,-13.67,-13.76,0.121,1.39,True
g123,F814W,0.103,1.34,0.731,10,0.00023,0.00022,-12.86,-12.95,0.054,1.36,True
g123,F814W,0.103,1.34,0.731,11,0.00033,0.0003,-13.22,-13.31,0.087,1.52,True
g123,F814W,0.103,1.34,0.731,12,0.00019,0.00018,-12.66,-12.75,0.113,1.99,True
g123,F814W,0.103,1.34,0.731,13,0.00118,0.0011,-14.62,-14.71,0.365,1.37,True
g123,F814W,0.103,1.34,0.731,14,0.00011,0.0001,-12.06,-12.15,0.114,1.63,True
g123,F814W,0.103,1.34,0.731,15,7e-05,7e-05,-11.56,-11.65,0.068,1.38,True
g123,F814W,0.103,1.34,0.731,16,0.00023,0.00022,-12.85,-12.93,0.097,1.11,True
g123,F814W,0.103,1.34,0.731,17,0.00195,0.00181,-15.16,-15.25,0.223,0.34,False
g123,F814W,0.103,1.34,0.731,18,0.00094,0.00088,-14.37,-14.46,0.244,0.43,False
g123,F814W,0.103,1.34,0.731,19,0.00043,0.0004,-13.53,-13.62,0.182,0.86,False
g123,F814W,0.103,1.34,0.731,20,0.00015,0.00014,-12.39,-12.48,0.096,0.82,False
g123,F814W,0.103,1.34,0.731,21,0.00047,0.00044,-13.62,-13.71,0.211,0.88,False
g123,F814W,0.103,1.34,0.731,22,0.00032,0.0003,-13.2,-13.29,0.211,0.89,False
g123,F814W,0.103,1.34,0.731,23,0.00011,0.00011,-12.07,-12.16,0.086,0.86,False
g123,F814W,0.103,1.34,0.731,24,2e-05,2e-05,-10.08,-10.17,0.059,0.84,False
g123,F814W,0.103,1.34,0.731,25,0.00025,0.00024,-12.94,-13.03,0.115,1.66,True
g123,F814W,0.103,1.34,0.731,26,0.00022,0.0002,-12.79,-12.87,0.087,1.51,True
g123,F814W,0.103,1.34,0.731,27,0.00059,0.00055,-13.87,-13.96,0.185,1.37,True
g123,F814W,0.103,1.34,0.731,28,7e-05,7e-05,-11.61,-11.7,0.046,1.39,True
g123,F814W,0.103,1.34,0.731,29,0.0002,0.00019,-12.71,-12.8,0.087,1.43,True
g123,F814W,0.103,1.34,0.731,30,0.00254,0.00237,-15.45,-15.54,0.669,2.24,False
g123,F814W,0.103,1.34,0.731,31,1e-05,1e-05,-8.81,-8.9,0.017,2.12,False
g123,F814W,0.103,1.34,0.731,32,0.0,0.0,inf,inf,0.132,2.2,False
g123,F814W,0.103,1.34,0.731,33,0.00016,0.00014,-12.41,-12.5,0.323,2.29,False
g123,F814W,0.103,1.34,0.731,34,0.0,0.0,inf,inf,0.197,2.24,False
g123,F814W,0.103,1.34,0.731,35,0.00017,0.00016,-12.5,-12.59,0.409,2.51,False
g123,F814W,0.103,1.34,0.731,36,0.0,0.0,-4.36,-4.44,0.017,2.43,False
g132,F814W,0.11,1.42,0.726,0,0.0029,0.00269,-13.57,-13.79,0.55,2.06,False
g132,F814W,0.11,1.42,0.726,1,0.00179,0.00166,-13.05,-13.26,0.447,2.04,False
g132,F814W,0.11,1.42,0.726,2,0.00169,0.00157,-12.99,-13.2,0.431,2.45,True
g132,F814W,0.11,1.42,0.726,3,0.00263,0.00244,-13.47,-13.68,0.703,2.06,False
g132,F814W,0.11,1.42,0.726,4,0.0009,0.00084,-12.3,-12.52,0.224,2.27,True
g132,F814W,0.11,1.42,0.726,5,0.00053,0.00049,-11.74,-11.95,0.135,2.5,True
g132,F814W,0.11,1.42,0.726,6,0.00038,0.00035,-11.36,-11.57,0.153,2.31,False
g132,F814W,0.11,1.42,0.726,7,4e-05,4e-05,-9.02,-9.23,0.065,2.09,False
g132,F814W,0.11,1.42,0.726,8,0.00022,0.0002,-10.77,-10.98,0.08,1.93,False
g132,F814W,0.11,1.42,0.726,9,0.00011,0.0001,-9.98,-10.19,0.036,1.71,False
g132,F814W,0.11,1.42,0.726,10,0.00079,0.00073,-12.16,-12.37,0.238,1.6,True
g132,F814W,0.11,1.42,0.726,11,0.00086,0.0008,-12.26,-12.47,0.098,0.34,False
g132,F814W,0.11,1.42,0.726,12,0.00203,0.00188,-13.19,-13.4,0.225,0.56,True
g132,F814W,0.11,1.42,0.726,13,0.00045,0.00042,-11.56,-11.77,0.101,1.33,True
g132,F814W,0.11,1.42,0.726,14,0.00038,0.00035,-11.36,-11.57,0.062,0.39,False
g132,F814W,0.11,1.42,0.726,15,0.00059,0.00055,-11.84,-12.05,0.082,0.48,False
g132,F814W,0.11,1.42,0.726,16,0.00028,0.00026,-11.05,-11.26,0.064,0.89,True
g132,F814W,0.11,1.42,0.726,17,0.00044,0.00041,-11.53,-11.74,0.088,0.59,True
g132,F814W,0.11,1.42,0.726,18,0.0,0.0,inf,inf,0.018,0.52,False
g132,F814W,0.11,1.42,0.726,19,0.00056,0.00052,-11.79,-12.0,0.099,0.34,False
g132,F814W,0.11,1.42,0.726,20,0.00095,0.00088,-12.36,-12.57,0.143,1.45,True
g132,F814W,0.11,1.42,0.726,21,0.00396,0.00368,-13.91,-14.12,0.517,1.5,False
g132,F814W,0.11,1.42,0.726,22,0.0,0.0,inf,inf,0.243,1.36,False
g132,F814W,0.11,1.42,0.726,23,0.00206,0.00192,-13.21,-13.42,0.309,1.79,False
g132,F814W,0.11,1.42,0.726,24,0.0,0.0,inf,inf,0.22,1.62,False
g132,F814W,0.11,1.42,0.726,25,0.00179,0.00166,-13.05,-13.26,0.39,1.84,False
g132,F814W,0.11,1.42,0.726,26,2e-05,1e-05,-7.88,-8.09,0.288,1.88,False
g132,F814W,0.11,1.42,0.726,27,0.00076,0.0007,-12.11,-12.33,0.259,1.61,True
g125,F814W,0.114,1.47,0.724,0,0.00068,0.00063,-11.71,-11.79,0.14,3.74,False
