Galaxy,Filter,z,t_L (Gyr),λ rf (μm),μ (deg),Δμ (deg),l_ψ (deg),l_ψ err,Luminosity fraction,w (kpc),w err,r_end (kpc),r_end err,h_s (kpc),h_s err,W_i,S,S err
g172,F814W,0.102,1.33,0.731,11.8,11.5,171.9,1.2,0.053,1.8,0.0,7.476,0.159,1.891,0.06,8.97,-0.21,0.06
g172,F814W,0.102,1.33,0.731,9.9,-10.3,335.3,2.5,0.213,0.93,0.015,5.05,0.072,2.552,0.053,5.57,0.1,0.02
g172,F814W,0.102,1.33,0.731,14.4,-26.3,127.4,2.3,0.036,1.302,0.05,5.223,0.2,1.708,0.208,0.69,0.08,0.05
g123,F814W,0.103,1.34,0.731,22.7,-64.7,217.1,0.4,0.056,1.037,0.005,4.119,0.026,2.358,0.014,2.54,0.48,0.01
g123,F814W,0.103,1.34,0.731,9.5,16.0,239.0,0.1,0.05,1.711,0.005,5.278,0.0,10.584,0.296,1.88,0.24,0.0
g132,F814W,0.11,1.42,0.726,17.6,-62.5,106.6,0.7,0.085,1.606,0.0,3.292,0.067,0.811,0.007,0.65,-0.1,0.03
g132,F814W,0.11,1.42,0.726,15.4,-66.1,121.0,0.7,0.098,1.624,0.0,2.936,0.0,0.832,0.005,0.66,-0.32,0.03
g125,F814W,0.114,1.47,0.724,31.2,-25.4,172.5,0.5,0.118,0.797,0.043,3.72,0.052,1.976,0.046,4.76,-0.31,0.03
g125,F814W,0.114,1.47,0.724,23.4,-59.8,60.0,1.0,0.053,1.12,0.0,2.544,0.131,0.78,0.081,1.28,0.5,0.0
g125,F814W,0.114,1.47,0.724,22.0,-15.3,228.6,3.2,0.092,1.117,0.06,5.066,0.139,0.885,0.024,1.53,-0.32,0.04
g125,F814W,0.114,1.47,0.724,22.7,-25.5,173.5,2.5,0.076,0.7,0.062,2.676,0.128,3.206,0.258,1.39,-0.07,0.08
g147,F814W,0.118,1.52,0.721,8.0,17.6,358.9,0.2,0.058,2.985,0.0,6.541,0.025,6.403,0.086,0.79,0.5,0.0
g147,F814W,0.118,1.52,0.721,6.3,-24.2,346.1,0.7,0.027,1.569,0.012,6.212,0.042,11.127,0.472,1.54,-0.3,0.02
g56,F814W,0.14,1.78,0.707,39.8,10.5,118.8,2.7,0.046,0.624,0.061,3.978,0.0,0.926,0.032,3.02,0.02,0.08
g56,F814W,0.14,1.78,0.707,13.4,37.9,97.4,2.7,0.027,1.803,0.0,3.172,0.304,0.744,0.079,10.59,-0.06,0.1
g100,F814W,0.169,2.1,0.69,9.3,-41.2,377.0,18.8,0.164,1.456,0.073,2.985,0.0,12.707,4.764,5.17,-0.5,0.0
g100,F814W,0.169,2.1,0.69,10.8,-0.8,393.6,0.0,0.178,2.143,0.0,6.006,0.123,9.371,0.757,1.96,0.04,0.06
g53,F814W,0.172,2.13,0.688,21.9,14.7,193.1,1.6,0.055,2.497,0.045,9.233,0.0,3.551,0.077,5.87,-0.5,0.0
g53,F814W,0.172,2.13,0.688,11.2,11.2,447.1,2.8,0.179,3.46,0.0,6.937,0.08,3.1,0.05,2.76,-0.45,0.02
g53,F814W,0.172,2.13,0.688,14.1,3.6,142.4,0.5,0.034,3.42,0.0,11.544,0.155,1.908,0.042,1.75,0.29,0.03
g53,F814W,0.172,2.13,0.688,11.6,49.1,349.7,1.5,0.125,3.067,0.072,16.314,0.153,4.201,0.05,3.3,0.11,0.03
