Galaxy,Filter,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,S/T,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
g1,F814W,10.8,3.3,-1.6,2.7,415.9,36.3,0.371,1.693,0.248,12.821,0.0,6.955,3.829,1.76,0.66,0.18,0.19,0.257
g2,F814W,23.4,7.1,-17.3,27.7,143.8,46.9,0.11,0.785,0.033,5.031,0.481,1.614,0.023,1.15,0.14,0.06,0.01,0.749
g4,F814W,17.4,4.1,-5.0,9.2,205.3,44.1,0.41,2.555,0.648,16.233,0.0,5.755,4.764,3.94,5.59,-0.05,0.38,0.291
g5,F814W,21.2,3.6,-2.2,0.5,185.6,23.7,0.226,0.996,0.052,7.817,0.0,11.001,8.025,2.1,1.06,-0.1,0.43,0.452
g7,F814W,12.6,3.1,0.3,8.2,173.6,3.1,0.049,2.767,0.344,9.639,0.0,2.542,1.241,7.8,6.67,0.02,0.36,0.318
g8,F814W,15.2,1.5,1.6,1.4,243.8,5.4,0.265,1.567,0.015,9.86,0.0,1.926,0.378,1.09,0.19,0.07,0.19,0.205
g9,F814W,20.9,7.7,-16.1,14.7,200.7,31.4,0.24,2.213,0.608,12.734,0.407,14.397,5.825,4.38,6.86,-0.04,0.24,0.447
g11,F814W,11.0,3.0,-2.5,5.3,314.2,15.2,0.38,3.098,0.051,12.295,0.258,6.232,1.889,1.0,0.0,0.0,0.0,0.338
g12,F814W,15.7,3.9,-9.7,14.8,225.7,30.8,0.259,2.249,0.127,8.278,0.157,4.474,0.765,1.18,0.04,0.25,0.31,0.179
g13,F814W,15.6,3.5,-8.7,11.8,227.9,33.2,0.128,1.341,0.096,16.087,2.367,1.527,0.373,1.58,1.13,0.2,0.24,0.355
g14,F814W,16.3,2.7,-2.4,5.8,331.8,107.9,0.188,1.47,0.294,15.64,0.96,13.688,7.074,4.54,1.28,0.36,0.09,0.602
g15,F814W,8.9,3.8,-13.0,5.8,186.4,35.7,0.151,0.848,0.069,6.679,0.786,2.615,0.07,4.57,4.04,0.33,0.09,0.961
g16,F814W,13.8,5.0,-0.3,0.5,376.6,39.4,0.126,0.91,0.301,10.531,0.169,5.25,0.006,6.4,1.18,0.15,0.19,0.599
g17,F814W,14.2,0.1,-11.8,4.1,204.0,4.0,0.186,2.305,0.696,8.582,0.0,3.341,0.282,4.12,2.62,-0.24,0.16,0.349
g18,F814W,14.0,4.5,-7.9,3.1,246.8,20.7,0.272,2.957,0.885,12.172,0.328,4.017,1.034,6.28,6.05,0.25,0.07,0.571
g19,F814W,15.8,0.7,-4.5,2.2,392.6,25.2,0.26,2.942,0.149,15.587,0.144,5.945,0.572,0.66,0.2,0.28,0.3,0.255
g20,F814W,23.8,1.9,-15.4,28.8,145.4,57.8,0.147,1.394,0.289,11.926,0.252,19.588,14.437,4.97,2.19,0.14,0.27,0.727
g21,F814W,19.5,4.5,-30.6,2.4,176.5,40.6,0.137,1.529,0.084,8.292,0.381,2.972,0.416,4.01,1.31,-0.22,0.21,0.751
g22,F814W,14.6,7.3,-1.4,13.0,250.6,105.6,0.281,1.92,0.717,12.273,0.32,11.714,7.464,4.6,2.72,0.04,0.17,0.303
g23,F814W,15.1,1.4,1.0,0.4,158.8,36.3,0.148,1.633,0.431,11.344,0.616,2.536,0.362,0.59,0.2,0.46,0.04,0.937
g26,F814W,14.5,2.2,-0.2,0.4,441.2,110.7,0.343,1.729,0.253,10.474,0.044,3.417,0.39,1.93,0.28,-0.29,0.04,0.512
g27,F814W,6.8,2.3,-5.7,15.2,155.5,18.8,0.083,2.083,0.013,7.264,0.0,9.804,7.605,0.79,0.25,-0.25,0.25,0.575
g29,F814W,16.9,1.9,-5.7,11.2,213.0,40.7,0.352,2.1,1.192,13.348,0.0,16.255,8.043,3.38,2.94,-0.16,0.14,0.721
g31,F814W,12.3,2.9,-6.6,6.6,273.5,15.7,0.174,1.203,0.0,5.212,0.0,1.043,0.565,4.51,2.94,0.38,0.1,0.303
g32,F814W,15.6,4.5,-18.3,4.6,187.4,32.4,0.247,1.403,0.288,6.984,0.127,1.645,0.795,1.11,0.41,-0.14,0.24,0.407
g35,F814W,16.0,10.1,6.2,3.8,207.5,24.8,0.254,2.444,0.208,12.737,0.308,37.488,1.39,1.42,0.82,0.29,0.24,0.393
g36,F814W,13.9,1.2,-4.0,4.8,303.1,9.5,0.311,3.035,0.494,11.965,0.153,2.758,0.445,7.54,4.93,-0.28,0.26,0.338
g37,F814W,10.2,3.6,-1.9,8.7,226.8,48.9,0.265,2.687,0.162,6.881,0.769,18.51,13.263,1.07,0.73,0.17,0.38,0.222
g38,F814W,19.4,0.5,-10.7,3.9,249.3,56.1,0.371,1.513,0.315,5.982,0.139,13.734,9.678,5.77,4.37,-0.02,0.32,0.428
g39,F814W,13.0,2.9,-6.4,3.1,284.0,40.2,0.332,1.566,0.247,4.854,0.0,11.105,8.041,4.37,2.76,-0.21,0.09,0.221
g43,F814W,19.5,9.6,-23.2,9.1,160.6,28.6,0.24,2.262,0.768,10.689,0.21,4.979,1.654,1.76,1.0,-0.07,0.19,0.424
g44,F814W,12.7,1.3,-8.3,5.1,274.5,25.4,0.282,3.973,0.674,16.77,0.414,7.878,0.884,2.18,1.04,-0.07,0.17,0.259
g46,F814W,18.8,6.9,0.1,5.1,302.5,27.2,0.128,1.826,0.46,10.729,0.0,18.775,10.44,1.29,0.75,0.01,0.12,0.377
g47,F814W,3.2,0.2,-2.0,5.4,346.3,16.9,0.165,2.36,0.681,6.201,0.0,1.722,0.987,2.33,0.14,0.33,0.25,0.532
g49,F814W,20.1,5.7,-0.9,3.5,270.1,78.2,0.308,1.411,0.512,7.96,0.0,4.178,2.047,5.69,6.95,0.25,0.31,0.468
g50,F814W,15.8,5.6,2.0,11.2,150.1,58.4,0.174,2.025,0.328,16.082,0.942,4.033,0.183,2.09,0.85,0.05,0.06,0.618
g51,F814W,17.2,2.6,-6.2,0.6,191.4,30.4,0.21,1.548,0.082,8.907,0.32,6.304,3.036,2.32,1.16,0.13,0.27,0.679
g53,F814W,14.3,4.7,3.3,5.6,335.9,110.8,0.451,3.212,0.281,16.314,0.153,3.247,0.75,4.38,3.06,-0.25,0.3,0.161
g56,F814W,30.1,12.7,12.7,9.9,111.0,10.3,0.073,1.032,0.434,3.978,0.0,0.859,0.088,5.79,3.64,-0.01,0.04,0.599
g57,F814W,14.0,4.1,-3.3,5.9,207.3,67.5,0.361,2.04,0.27,17.768,0.0,10.078,6.382,3.36,1.77,-0.03,0.26,0.381
g59,F814W,9.6,0.6,0.9,0.7,399.5,26.4,0.41,3.132,0.0,7.914,0.143,3.973,0.68,0.58,0.08,-0.45,0.04,0.169
g60,F814W,9.9,5.6,-7.2,8.7,311.4,119.4,0.231,2.252,0.448,12.136,0.364,13.701,6.864,3.3,2.02,-0.31,0.09,0.444
g62,F814W,14.5,3.2,-1.5,5.4,226.7,75.6,0.388,2.463,0.377,10.877,0.0,2.176,0.307,3.69,4.4,-0.14,0.24,0.453
g63,F814W,13.6,5.5,-10.4,1.9,252.4,61.4,0.283,4.453,0.0,17.183,0.0,3.572,0.239,2.23,0.51,-0.46,0.04,0.387
g64,F814W,2.8,0.7,-0.0,6.3,208.9,23.2,0.315,2.109,0.3,5.209,0.091,3.932,3.601,1.69,0.34,-0.04,0.01,0.164
g65,F814W,16.6,3.5,-2.9,12.4,235.1,43.5,0.23,1.346,0.529,17.57,0.0,15.414,2.034,3.18,2.35,0.39,0.17,0.487
g66,F814W,18.7,7.6,3.1,24.6,338.3,129.4,0.417,2.787,0.875,22.84,0.0,32.869,7.697,3.05,1.54,-0.19,0.35,0.399
g68,F814W,18.0,5.1,-14.9,4.5,211.0,2.3,0.19,3.411,0.0,10.114,0.5,2.978,0.132,0.64,0.0,-0.0,0.44,0.275
g69,F814W,15.4,3.4,-3.7,10.4,242.9,73.0,0.24,1.965,0.693,25.209,0.0,8.075,3.31,6.7,3.39,0.11,0.31,0.637
g71,F814W,13.0,2.2,-24.5,2.3,248.3,7.8,0.308,3.306,0.133,10.293,0.694,6.888,3.196,1.0,0.0,0.0,0.0,0.337
g73,F814W,14.6,7.1,-22.5,9.6,185.7,14.8,0.299,3.901,0.701,12.064,0.298,4.658,1.066,0.5,0.21,-0.5,0.0,0.599
g74,F814W,17.8,3.2,-8.5,8.1,236.1,44.5,0.277,1.874,0.5,17.796,0.271,36.072,22.913,2.15,0.7,0.26,0.19,0.622
g75,F814W,15.1,4.1,0.0,1.5,352.5,7.2,0.369,2.248,0.79,10.016,0.0,26.823,5.636,2.22,1.22,-0.0,0.5,0.305
g76,F814W,12.7,5.7,0.0,10.2,235.6,45.9,0.541,3.159,0.797,13.642,0.0,10.657,8.038,2.19,0.98,0.32,0.05,0.158
g77,F814W,16.4,1.8,-6.3,6.0,213.0,17.7,0.181,1.306,0.038,6.317,0.254,6.995,4.151,1.0,0.0,0.0,0.0,0.46
g79,F814W,13.3,0.0,-26.1,0.8,181.5,0.5,0.209,3.073,0.55,8.552,0.193,2.531,0.269,0.6,0.08,-0.35,0.12,0.17
g81,F814W,19.3,4.8,-6.5,2.7,336.5,40.4,0.409,2.329,0.51,12.841,0.713,6.208,3.039,1.0,0.0,-0.34,0.18,0.499
g82,F814W,5.7,0.6,3.3,4.9,165.5,23.4,0.038,2.218,0.259,12.841,0.0,4.313,1.453,1.4,1.12,-0.07,0.48,0.555
g84,F814W,24.2,0.9,-10.4,4.8,240.7,1.8,0.328,1.275,0.085,5.65,0.0,12.186,1.458,1.97,0.39,0.22,0.13,0.14
g85,F814W,16.0,4.4,1.9,2.6,204.7,62.3,0.311,1.906,0.706,9.768,0.0,8.58,9.015,5.87,4.67,0.11,0.23,0.318
g87,F814W,9.1,10.8,2.6,8.2,286.9,103.3,0.244,2.237,0.703,10.553,0.169,13.389,2.161,2.21,0.63,0.01,0.03,0.358
g89,F814W,15.7,0.2,4.8,0.4,315.2,13.1,0.359,3.434,0.868,9.82,0.227,30.593,1.436,0.71,0.0,-0.5,0.0,0.317
g93,F814W,10.0,2.1,-2.7,0.4,338.9,27.4,0.241,1.622,0.505,12.239,0.2,10.556,7.745,3.01,1.19,-0.19,0.07,0.565
g95,F814W,15.2,6.0,-27.0,23.0,158.8,54.7,0.256,1.801,0.137,7.666,0.112,4.867,1.219,1.31,0.35,-0.08,0.16,0.517
g96,F814W,11.6,4.6,-6.2,8.9,231.4,80.1,0.29,3.551,0.827,14.563,0.102,19.368,21.116,3.03,3.67,-0.07,0.2,0.169
g98,F814W,12.5,5.6,4.7,24.4,374.4,92.8,0.204,2.034,0.125,9.375,0.571,6.376,2.261,1.08,0.35,-0.18,0.29,0.314
g99,F814W,23.3,1.2,-14.5,15.7,194.2,8.1,0.269,2.269,0.427,13.893,0.0,23.683,16.735,0.85,0.27,-0.2,0.25,0.518
g100,F814W,10.1,0.8,-3.7,3.7,385.7,8.3,0.342,1.815,0.348,6.006,0.123,10.968,1.666,3.5,1.6,-0.22,0.27,0.375
g102,F814W,8.9,4.0,-4.5,5.9,268.1,31.7,0.208,3.212,0.0,11.424,0.0,17.202,12.963,1.0,0.0,0.0,0.0,0.238
g103,F814W,15.4,3.4,-11.8,4.0,221.1,50.0,0.361,3.133,0.851,10.975,0.189,5.653,3.485,2.32,1.15,-0.12,0.07,0.306
g104,F814W,21.3,1.3,-9.5,4.7,289.6,38.4,0.592,1.676,0.294,8.795,0.109,6.307,3.395,2.77,2.51,0.07,0.27,0.424
g107,F814W,22.1,11.3,-10.0,21.3,110.9,24.9,0.159,0.745,0.225,2.778,0.119,1.305,0.061,1.92,2.92,0.32,0.25,0.442
g108,F814W,5.2,2.1,-10.4,11.8,389.9,133.6,0.11,3.028,0.549,11.162,0.0,6.241,1.43,0.83,0.26,-0.38,0.07,0.474
g111,F814W,12.7,0.6,-1.4,3.4,297.8,26.9,0.217,1.889,0.185,13.109,0.919,3.524,0.129,3.13,2.38,0.12,0.01,0.454
g112,F814W,25.7,10.9,-14.7,11.8,227.2,80.1,0.22,3.078,0.657,14.626,0.0,18.895,15.482,1.0,0.0,0.0,0.0,0.497
g113,F814W,12.2,0.0,7.6,0.0,199.3,0.0,0.172,3.393,0.0,11.748,0.191,2.529,0.0,2.47,0.0,0.5,0.0,1.0
g114,F814W,20.9,2.0,-8.1,4.4,233.5,3.9,0.412,2.499,0.011,15.227,0.322,2.729,0.146,0.78,0.27,-0.41,0.09,0.153
g116,F814W,16.2,9.8,-12.9,8.5,190.9,34.1,0.122,2.093,0.081,9.763,0.0,2.159,0.578,3.62,2.18,-0.22,0.24,0.495
g118,F814W,12.5,2.3,-2.5,4.7,322.2,70.6,0.339,1.148,0.379,8.188,0.0,2.278,1.688,2.74,1.09,0.02,0.22,0.301
g119,F814W,15.9,0.5,-18.6,8.1,226.1,8.9,0.41,2.974,0.213,12.941,0.247,3.405,0.204,3.48,1.32,-0.12,0.34,0.62
g120,F814W,18.8,4.0,-14.5,8.6,208.9,33.8,0.419,2.414,0.633,12.418,0.0,4.789,3.125,7.54,7.91,-0.45,0.04,0.47
g121,F814W,25.6,5.7,-5.2,11.0,157.8,53.0,0.247,1.447,0.621,14.516,0.568,12.71,2.488,8.28,6.94,0.21,0.33,0.593
g123,F814W,16.4,6.6,-14.5,17.5,227.5,10.9,0.106,1.357,0.292,5.278,0.0,6.267,4.108,2.23,0.33,0.37,0.12,0.317
g124,F814W,18.3,6.0,-9.8,5.5,227.6,31.4,0.288,1.995,0.248,8.72,0.16,4.282,0.733,0.95,0.05,-0.06,0.38,0.45
g125,F814W,25.6,4.1,-18.6,26.1,170.3,53.3,0.34,0.913,0.165,5.066,0.139,1.767,0.919,2.58,1.59,-0.13,0.29,0.339
g128,F814W,14.3,0.1,-11.8,5.3,225.6,11.5,0.405,2.383,0.895,14.949,0.182,6.598,2.68,2.23,1.58,0.18,0.07,0.534
g130,F814W,12.0,1.4,-16.9,3.0,234.0,19.8,0.263,2.27,0.129,6.4,0.0,1.977,0.459,1.0,0.0,0.0,0.0,0.247
